0.000000000000000000e+00 5.622495062388185305e-01
5.000000000000000000e+00 9.289395838465166477e-01
1.000000000000000000e+01 1.169387399205356948e+00
1.500000000000000000e+01 1.285815106919936834e+00
2.000000000000000000e+01 1.803678695736879334e+00
2.500000000000000000e+01 1.657032410278319157e+00
3.000000000000000000e+01 2.140626282905635502e+00
3.500000000000000000e+01 1.757143985719490376e+00
4.000000000000000000e+01 2.172859360603385692e+00
4.500000000000000000e+01 1.612192321859081900e+00
5.000000000000000000e+01 1.850092901223052699e+00
5.500000000000000000e+01 2.028855880073652695e+00
6.000000000000000000e+01 1.726840041302160289e+00
