1.000000000000000000e+01 5.681648917205092131e-01
2.000000000000000000e+01 5.799093323946034051e-01
3.000000000000000000e+01 4.953688160103151827e-01
4.000000000000000000e+01 5.044220166745255751e-01
5.000000000000000000e+01 5.139843295515741373e-01
6.000000000000000000e+01 4.956857206028483787e-01
7.000000000000000000e+01 5.128363276984352348e-01
8.000000000000000000e+01 5.100090445220420987e-01
9.000000000000000000e+01 5.213023722045777575e-01
1.000000000000000000e+02 4.843583930439983032e-01
1.100000000000000000e+02 5.015174643879440897e-01
1.200000000000000000e+02 4.800319580723204638e-01
1.300000000000000000e+02 4.968528342272499621e-01
1.400000000000000000e+02 5.106483410894205877e-01
1.500000000000000000e+02 4.435293685437937672e-01
1.600000000000000000e+02 5.265994424063497048e-01
1.700000000000000000e+02 5.285924951550620143e-01
1.800000000000000000e+02 4.882646463956614169e-01
1.900000000000000000e+02 5.237210410130689331e-01
2.000000000000000000e+02 5.003678404277360769e-01
2.100000000000000000e+02 5.340836341194519221e-01
2.200000000000000000e+02 4.811449210607116611e-01
2.300000000000000000e+02 5.285944403986491125e-01
2.400000000000000000e+02 5.360066809060105575e-01
2.500000000000000000e+02 4.377018989223701029e-01
2.600000000000000000e+02 4.696286014051231361e-01
2.700000000000000000e+02 4.669911728513715943e-01
2.800000000000000000e+02 5.499499379217757111e-01
2.900000000000000000e+02 6.046905796304882230e-01
3.000000000000000000e+02 4.909865093475257458e-01
3.100000000000000000e+02 4.841359039977806700e-01
3.200000000000000000e+02 5.166875299273343547e-01
3.300000000000000000e+02 5.007302053537593389e-01
3.400000000000000000e+02 4.593119487049505678e-01
3.500000000000000000e+02 5.330405053964025752e-01
3.600000000000000000e+02 4.723263431326039652e-01
3.700000000000000000e+02 4.755587255930758261e-01
3.800000000000000000e+02 4.907473711757145973e-01
3.900000000000000000e+02 4.942744770404941534e-01
4.000000000000000000e+02 4.935588118346180830e-01
4.100000000000000000e+02 5.607176546115802962e-01
4.200000000000000000e+02 5.582654119811244486e-01
4.300000000000000000e+02 5.291235426476111892e-01
4.400000000000000000e+02 4.754737743503842928e-01
4.500000000000000000e+02 5.099175262050968938e-01
4.600000000000000000e+02 4.807005588240913507e-01
4.700000000000000000e+02 4.789438595126250253e-01
4.800000000000000000e+02 4.788762528074267388e-01
4.900000000000000000e+02 5.919522695872919682e-01
5.000000000000000000e+02 5.091256094160554468e-01
5.100000000000000000e+02 5.198871884773067498e-01
5.200000000000000000e+02 4.918355386420341646e-01
5.300000000000000000e+02 4.782750797559103817e-01
5.400000000000000000e+02 4.899577738813039596e-01
5.500000000000000000e+02 5.619140113714635731e-01
5.600000000000000000e+02 5.406999782650955266e-01
5.700000000000000000e+02 4.997610752773595788e-01
5.800000000000000000e+02 4.717574835105013964e-01
5.900000000000000000e+02 5.171867639510371317e-01
6.000000000000000000e+02 5.425866837062377490e-01
6.100000000000000000e+02 5.172449584408055356e-01
6.200000000000000000e+02 5.000283561491337680e-01
6.300000000000000000e+02 5.025733348998605576e-01
6.400000000000000000e+02 4.587198942138875357e-01
6.500000000000000000e+02 5.222748942781481052e-01
6.600000000000000000e+02 5.168506056189093867e-01
6.700000000000000000e+02 4.800149147638055891e-01
6.800000000000000000e+02 4.982591573455908418e-01
6.900000000000000000e+02 5.184275293388271866e-01
7.000000000000000000e+02 4.760503265776848125e-01
7.100000000000000000e+02 5.145868236685597896e-01
7.200000000000000000e+02 4.703481628608542353e-01
7.300000000000000000e+02 5.224543285337823750e-01
7.400000000000000000e+02 5.301304506989754639e-01
7.500000000000000000e+02 4.806373827604099036e-01
7.600000000000000000e+02 5.049498430372004742e-01
7.700000000000000000e+02 5.140655734715905423e-01
7.800000000000000000e+02 4.495073755978569174e-01
7.900000000000000000e+02 4.920207562176203697e-01
8.000000000000000000e+02 4.995047559908880608e-01
8.100000000000000000e+02 4.779255721513659960e-01
8.200000000000000000e+02 5.147513611810046186e-01
8.300000000000000000e+02 4.833846364883941371e-01
8.400000000000000000e+02 4.961398980258486247e-01
8.500000000000000000e+02 4.973626258413089141e-01
8.600000000000000000e+02 4.785245888995423025e-01
8.700000000000000000e+02 5.254302302806974634e-01
8.800000000000000000e+02 4.586083996635971216e-01
8.900000000000000000e+02 4.859943586084878864e-01
9.000000000000000000e+02 4.511895115957942348e-01
9.100000000000000000e+02 5.822084559375114710e-01
9.200000000000000000e+02 4.933603887153251710e-01
9.300000000000000000e+02 4.752888837458654758e-01
9.400000000000000000e+02 5.285513453622744384e-01
9.500000000000000000e+02 4.805588505198692406e-01
9.600000000000000000e+02 5.178722509978211930e-01
9.700000000000000000e+02 4.741396356117740241e-01
9.800000000000000000e+02 5.442239617927366879e-01
9.900000000000000000e+02 5.083756314339945570e-01
1.000000000000000000e+03 5.622495062388185305e-01
