0.000000000000000000e+00 8.906762714644106183e+00
5.000000000000000000e+00 8.496356661936561139e+00
1.000000000000000000e+01 8.176249754541666803e+00
1.500000000000000000e+01 8.167133488023386789e+00
2.000000000000000000e+01 7.817736173124122168e+00
2.500000000000000000e+01 7.930583697959142420e+00
3.000000000000000000e+01 7.410343946742058208e+00
3.500000000000000000e+01 7.631846068919519332e+00
4.000000000000000000e+01 7.154532569585986934e+00
4.500000000000000000e+01 7.651317023508438453e+00
5.000000000000000000e+01 7.637541463961810884e+00
5.500000000000000000e+01 7.461921261124655480e+00
6.000000000000000000e+01 8.218841042439716915e+00
