# time(ps), Replica_0 Replica_1 Replica_2 Replica_3 Replica_4 Replica_5 Replica_6 Replica_7 Replica_8 Replica_9 Replica_10
# NetCDF: output.nc
# Checkpoint: output_checkpoint.nc
# Replicas processed: 0,1,2,3,4,5,6,7,8,9,10
# Skip: 1, dt: 5.0000 ps
220.0 1.9621 2.0049 3.4062 2.2157 1.7817 1.3159 1.5719 1.7989 2.1519 1.8931 2.8335
225.0 2.0376 1.8537 2.9135 2.2086 1.8090 1.2286 1.5346 2.0272 1.7232 1.8968 3.1886
230.0 2.1635 2.3404 2.2807 1.5237 1.4714 1.3881 1.4957 2.1450 1.6499 2.2030 2.9508
235.0 2.1346 1.5369 2.6270 2.3356 1.5553 1.3800 1.5979 2.0042 1.6967 2.0981 3.2965
240.0 1.7731 1.4342 2.9196 2.5339 1.1963 1.1541 1.7995 1.8453 1.3789 2.0573 3.0124
245.0 2.2301 1.3344 3.0737 2.1731 1.2397 1.3013 1.6715 1.6984 1.5909 1.8754 2.9564
250.0 2.0938 1.4149 3.4429 2.1899 1.2846 1.3234 1.7559 1.9489 2.1225 2.1342 3.3991
255.0 3.3460 1.8117 3.7417 2.3305 1.4419 1.3963 1.7846 1.4910 1.6701 1.9835 3.3154
260.0 3.0701 1.4732 3.5264 1.9586 2.0210 1.3718 1.6747 1.7468 1.9590 1.8362 3.7902
265.0 2.2514 1.4123 3.2294 1.6720 1.8723 1.4448 1.8582 1.1635 1.9457 1.9610 3.6317
270.0 1.8156 1.8390 3.2552 1.7631 1.5724 1.2958 2.3010 1.2276 1.9625 2.4382 3.6832
275.0 2.2874 1.6240 2.6023 2.0232 1.6463 1.6640 2.2038 1.5399 1.8372 2.6131 3.5667
280.0 2.6944 1.2975 2.4763 1.9067 1.4795 1.4996 2.5035 1.6336 2.5381 2.8296 3.5409
285.0 2.6687 1.3193 2.5713 1.8665 1.9282 1.5216 1.9850 1.8395 2.3931 2.1589 3.7217
290.0 2.3444 1.4993 2.7530 1.4781 2.2572 1.5356 2.0428 1.4986 2.7038 1.9636 3.1735
295.0 2.3620 1.4094 2.7569 1.6713 2.1960 1.5210 1.9053 1.5745 2.3325 1.8828 2.9951
300.0 2.0545 1.4482 2.1368 1.6252 1.8854 1.3616 1.7810 1.4492 1.8950 2.4561 3.4242
305.0 2.0114 1.5104 2.5033 1.4744 1.4838 1.4774 1.6423 1.4290 1.8409 2.1802 2.5940
310.0 2.1124 1.4656 2.7772 1.6185 1.7183 1.6701 1.8094 1.4989 2.1244 2.2206 2.7348
315.0 2.2266 1.5456 2.2121 1.7095 1.8327 2.0184 1.7876 1.7273 1.7558 2.0822 2.8978
320.0 2.2044 1.4331 2.2998 1.8127 1.3380 1.8302 1.8656 1.8359 1.6065 2.3641 2.7573
325.0 2.4341 2.1540 2.4178 1.9472 1.3456 2.1243 1.8186 1.7371 2.4858 2.1366 2.3261
330.0 2.5170 2.0453 2.3899 1.9258 1.2210 1.7494 1.6710 1.6095 2.6487 2.3188 2.2167
335.0 2.4005 2.1862 2.2997 1.8111 1.2402 2.0280 1.9881 1.7489 2.0291 2.5210 2.7951
340.0 2.8448 2.4359 2.0211 2.2103 1.3735 1.9092 1.7422 1.8035 1.7833 2.4785 3.0630
345.0 3.5500 2.1792 2.0236 2.4076 1.7585 2.2042 1.8119 1.8169 1.6099 2.2308 3.3933
350.0 3.6350 1.9896 1.6825 1.9398 1.9301 2.3604 1.6744 1.5342 1.8546 2.1278 3.0498
355.0 3.4028 1.8730 1.7100 1.7718 1.8288 2.3834 1.8568 1.6555 1.7356 2.3638 2.3237
360.0 3.7293 2.0997 1.5885 1.7857 1.5885 2.4430 1.5046 1.7440 2.1888 2.5381 2.8730
365.0 2.8806 1.4777 1.6292 1.9742 1.7229 2.4298 1.8296 1.5233 2.1119 2.2248 2.9460
370.0 3.0968 1.7191 1.3469 1.9574 1.6736 1.5656 1.7723 1.8337 1.6357 2.1467 2.9044
375.0 2.8687 2.0285 1.4366 1.8329 1.4583 1.8844 1.8752 2.0099 1.8300 2.3432 3.2599
380.0 4.0507 1.8610 1.4986 1.9335 1.6677 2.3671 1.7185 1.7975 1.8374 2.4246 2.6000
385.0 3.5346 2.0270 1.5045 2.0218 2.0393 2.0203 1.7101 2.0194 1.6599 2.1877 2.8271
390.0 3.7639 1.7102 1.5530 2.1253 1.8180 2.3099 1.7678 2.2571 2.0186 2.3738 3.1113
395.0 2.8477 2.1339 1.8848 2.2238 1.5420 3.1538 2.0014 1.8613 2.2152 2.1342 3.0371
400.0 2.7468 1.7670 1.9838 2.4929 1.7610 3.2512 2.0091 1.5832 2.0421 1.5875 2.5049
405.0 2.1789 1.1679 1.5098 2.2784 2.0097 3.8625 2.2102 1.3577 1.8509 2.0030 2.5901
410.0 2.0014 1.2536 1.4801 2.5200 2.3935 3.8295 1.9825 1.4401 1.7809 2.1271 2.5934
415.0 2.2669 1.4831 1.7797 2.3858 1.8207 3.5460 2.0440 1.7589 1.9438 2.1523 3.0895
420.0 2.1257 1.5041 1.8346 2.4201 2.1173 3.4762 1.9925 1.4423 2.0979 1.8926 3.0007
425.0 2.7667 1.2957 1.7379 2.5286 1.6433 3.5758 1.9221 1.4137 2.0995 2.1397 3.4535
430.0 3.2415 1.4782 1.7204 2.9052 1.6707 3.3825 1.9655 1.4555 2.0485 2.3441 3.2726
